LibraryElement, DeclaringType, EntityKind, Count, Status
System.Windows.Forms.Application.Run,System.Windows.Forms.Application,Method,2,1
System.Windows.Forms.Application,System.Windows.Forms.Application,Type,1,1
System.Drawing.Color,System.Drawing.Color,Type,4,1
System.Drawing.Color.FromArgb,System.Drawing.Color,Method,4,1
System.Reflection.AssemblyTitleAttribute..ctor,System.Reflection.AssemblyTitleAttribute,Method,1,1
System.Drawing.Color.Red,System.Drawing.Color,Property,1,1
System.Drawing.Color.Blue,System.Drawing.Color,Property,1,1
TestingDemos.frmLinkLabelTest.linkLabel1_LinkClicked.url,TestingDemos.frmLinkLabelTest.linkLabel1_LinkClicked.url,Type,2,1
System.Drawing.Point..ctor,System.Drawing.Point,Method,6,1
System.Windows.Forms.LinkLabelLinkClickedEventArgs,System.Windows.Forms.LinkLabelLinkClickedEventArgs,Type,1,1
System.Drawing.Point,System.Drawing.Point,Type,6,1
System.Reflection.AssemblyConfigurationAttribute..ctor,System.Reflection.AssemblyConfigurationAttribute,Method,1,1
System.Windows.Forms.LinkLabelLinkClickedEventArgs.Button,System.Windows.Forms.LinkLabelLinkClickedEventArgs,Property,2,1
System.Windows.Forms.LinkLabelLinkClickedEventArgs.Link,System.Windows.Forms.LinkLabelLinkClickedEventArgs,Property,2,1
System.STAThreadAttribute..ctor,System.STAThreadAttribute,Method,1,1
TestingDemos.frmLinkLabelTest.Dispose.disposing,TestingDemos.frmLinkLabelTest.Dispose.disposing,Type,2,1
System.IDisposable.Dispose,System.IDisposable,Method,2,1
System.Drawing.SystemColors.WindowText,System.Drawing.SystemColors,Property,2,1
System.Drawing.SystemColors,System.Drawing.SystemColors,Type,1,1
System.Windows.Forms.ContainerControl.AutoScaleMode,System.Windows.Forms.ContainerControl,Property,1,0
System.Windows.Forms.ContainerControl.AutoScaleDimensions,System.Windows.Forms.ContainerControl,Property,1,0
System.Runtime.Versioning.SupportedOSPlatformAttribute..ctor,System.Runtime.Versioning.SupportedOSPlatformAttribute,Method,1,1
System.Windows.Forms.LinkLabel..ctor,System.Windows.Forms.LinkLabel,Method,5,1
System.ComponentModel.IContainer,System.ComponentModel.IContainer,Type,1,1
System.Windows.Forms.LinkLabel,System.Windows.Forms.LinkLabel,Type,10,1
System.Windows.Forms.LinkLabel.LinkClicked,System.Windows.Forms.LinkLabel,Event,2,1
System.Windows.Forms.LinkLabel.VisitedLinkColor,System.Windows.Forms.LinkLabel,Property,2,1
System.Windows.Forms.LinkLabel.LinkBehavior,System.Windows.Forms.LinkLabel,Property,4,1
System.Windows.Forms.LinkLabel.Text,System.Windows.Forms.LinkLabel,Property,10,1
System.Windows.Forms.LinkLabel.TabStop,System.Windows.Forms.LinkLabel,Property,10,1
System.Windows.Forms.LinkLabel.LinkColor,System.Windows.Forms.LinkLabel,Property,6,1
System.Windows.Forms.LinkLabel.Links,System.Windows.Forms.LinkLabel,Property,6,1
System.Windows.Forms.MessageBox.Show,System.Windows.Forms.MessageBox,Method,2,1
System.Runtime.Versioning.TargetPlatformAttribute..ctor,System.Runtime.Versioning.TargetPlatformAttribute,Method,1,1
System.Windows.Forms.MessageBox,System.Windows.Forms.MessageBox,Type,1,1
System.Reflection.AssemblyProductAttribute..ctor,System.Reflection.AssemblyProductAttribute,Method,1,1
